TPdef | PLNONE | CF2000-0500 | SONONE | QU2 | MA0.8 | WEEK0 | 0.18611674927835536
TPdef | PLNONE | CF2000-0500 | SONONE | QU2 | MA0.8 | WEEK1 | 0.16505419427488072
TPdef | PLNONE | CF2000-0500 | SONONE | QU2 | MA0.8 | WEEK2 | 0.1686336712897651
TPdef | PLNONE | CF2000-0500 | SONONE | QU2 | MA0.8 | WEEK3 | 0.17001628815095304
TPdef | PLNONE | CF2000-0500 | SONONE | QU2 | MA0.8 | WEEK4 | 0.1697799471926334
TPdef | PLNONE | CF2000-0500 | SONONE | QU2 | MA0.8 | WEEK5 | 0.16880142961708722
TPdef | PLNONE | CF2000-0500 | SONONE | QU2 | MA0.8 | WEEK6 | 0.1685447891477494
TPdef | PLNONE | CF2000-0500 | SONONE | QU2 | MA0.8 | WEEK7 | 0.16915465323376558
TPdef | PLNONE | CF2000-0500 | SONONE | QU2 | MA0.8 | WEEK8 | 0.1692871634081154
TPdef | PLNONE | CF2000-0500 | SONONE | QU3 | MA1.0 | WEEK0 | 0.20250967901129244
TPdef | PLNONE | CF2000-0500 | SONONE | QU3 | MA1.0 | WEEK1 | 0.18173263282153715
TPdef | PLNONE | CF2000-0500 | SONONE | QU3 | MA1.0 | WEEK2 | 0.18519682113064082
TPdef | PLNONE | CF2000-0500 | SONONE | QU3 | MA1.0 | WEEK3 | 0.18698707767869838
TPdef | PLNONE | CF2000-0500 | SONONE | QU3 | MA1.0 | WEEK4 | 0.18479182105573536
TPdef | PLNONE | CF2000-0500 | SONONE | QU3 | MA1.0 | WEEK5 | 0.183750241813278
TPdef | PLNONE | CF2000-0500 | SONONE | QU3 | MA1.0 | WEEK6 | 0.1819506876240356
TPdef | PLNONE | CF2000-0500 | SONONE | QU3 | MA1.0 | WEEK7 | 0.18186725384342006
TPdef | PLNONE | CF2000-0500 | SONONE | QU3 | MA1.0 | WEEK8 | 0.18112107829775972
TPdef | PLNONE | CF2000-0500 | SONONE | QU3 | MA0.8 | WEEK0 | 0.1902059694385906
TPdef | PLNONE | CF2000-0500 | SONONE | QU3 | MA0.8 | WEEK1 | 0.1648943546695724
TPdef | PLNONE | CF2000-0500 | SONONE | QU3 | MA0.8 | WEEK2 | 0.16715705680431578
TPdef | PLNONE | CF2000-0500 | SONONE | QU3 | MA0.8 | WEEK3 | 0.16852810422493777
TPdef | PLNONE | CF2000-0500 | SONONE | QU3 | MA0.8 | WEEK4 | 0.16698226804945218
TPdef | PLNONE | CF2000-0500 | SONONE | QU3 | MA0.8 | WEEK5 | 0.16643545977641802
TPdef | PLNONE | CF2000-0500 | SONONE | QU3 | MA0.8 | WEEK6 | 0.165629409644854
TPdef | PLNONE | CF2000-0500 | SONONE | QU3 | MA0.8 | WEEK7 | 0.16513698232387722
TPdef | PLNONE | CF2000-0500 | SONONE | QU3 | MA0.8 | WEEK8 | 0.16502002368192686
TPdef | PLNONE | CF2000-0500 | SO12 | QU0 | MA1.0 | WEEK0 | 0.2086213071903725
TPdef | PLNONE | CF2000-0500 | SO12 | QU0 | MA1.0 | WEEK1 | 0.1928457396712741
TPdef | PLNONE | CF2000-0500 | SO12 | QU0 | MA1.0 | WEEK2 | 0.19400761008600756
TPdef | PLNONE | CF2000-0500 | SO12 | QU0 | MA1.0 | WEEK3 | 0.1939644897370935
TPdef | PLNONE | CF2000-0500 | SO12 | QU0 | MA1.0 | WEEK4 | 0.19477610990694808
TPdef | PLNONE | CF2000-0500 | SO12 | QU0 | MA1.0 | WEEK5 | 0.1949605722768156
TPdef | PLNONE | CF2000-0500 | SO12 | QU0 | MA1.0 | WEEK6 | 0.19433301547121612
TPdef | PLNONE | CF2000-0500 | SO12 | QU0 | MA1.0 | WEEK7 | 0.1941544140144336
TPdef | PLNONE | CF2000-0500 | SO12 | QU0 | MA1.0 | WEEK8 | 0.19383862751590764
TPdef | PLNONE | CF2000-0500 | SO12 | QU0 | MA0.8 | WEEK0 | 0.19202183742597184
TPdef | PLNONE | CF2000-0500 | SO12 | QU0 | MA0.8 | WEEK1 | 0.17304141920198451
TPdef | PLNONE | CF2000-0500 | SO12 | QU0 | MA0.8 | WEEK2 | 0.17618915650468608
TPdef | PLNONE | CF2000-0500 | SO12 | QU0 | MA0.8 | WEEK3 | 0.17727133500808387
TPdef | PLNONE | CF2000-0500 | SO12 | QU0 | MA0.8 | WEEK4 | 0.17518647542314375
TPdef | PLNONE | CF2000-0500 | SO12 | QU0 | MA0.8 | WEEK5 | 0.17601879578179538
TPdef | PLNONE | CF2000-0500 | SO12 | QU0 | MA0.8 | WEEK6 | 0.17534281220336184
TPdef | PLNONE | CF2000-0500 | SO12 | QU0 | MA0.8 | WEEK7 | 0.17533441925144413
TPdef | PLNONE | CF2000-0500 | SO12 | QU0 | MA0.8 | WEEK8 | 0.17656397307802582
TPdef | PLNONE | CF2000-0500 | SO12 | QU2 | MA1.0 | WEEK0 | 0.19708804212455597
TPdef | PLNONE | CF2000-0500 | SO12 | QU2 | MA1.0 | WEEK1 | 0.1748931879525802
TPdef | PLNONE | CF2000-0500 | SO12 | QU2 | MA1.0 | WEEK2 | 0.18070801026538477
