TPdef | PLNONE | CFNONE | SONONE | QU0 | MA1.0 | WEEK0 | nan
TPdef | PLNONE | CF2000-0500 | SONONE | QU2 | MA0.8 | WEEK7 | 0.044267275767951
TPdef | PLNONE | CF2000-0500 | SONONE | QU2 | MA0.8 | WEEK8 | 0.04281933320313522
TPdef | PLNONE | CF2000-0500 | SONONE | QU3 | MA1.0 | WEEK0 | nan
TPdef | PLNONE | CF2000-0500 | SONONE | QU3 | MA1.0 | WEEK1 | 0.010748084173084121
TPdef | PLNONE | CF2000-0500 | SONONE | QU3 | MA1.0 | WEEK2 | 0.0256594828911072
TPdef | PLNONE | CF2000-0500 | SONONE | QU3 | MA1.0 | WEEK3 | 0.026207150623239805
TPdef | PLNONE | CF2000-0500 | SONONE | QU3 | MA1.0 | WEEK4 | 0.0290134148516136
TPdef | PLNONE | CF2000-0500 | SONONE | QU3 | MA1.0 | WEEK5 | 0.029379726602490108
TPdef | PLNONE | CF2000-0500 | SONONE | QU3 | MA1.0 | WEEK6 | 0.03056268473212778
TPdef | PLNONE | CF2000-0500 | SONONE | QU3 | MA1.0 | WEEK7 | 0.030803069231475327
TPdef | PLNONE | CF2000-0500 | SONONE | QU3 | MA1.0 | WEEK8 | 0.03190277790910098
TPdef | PLNONE | CF2000-0500 | SONONE | QU3 | MA0.8 | WEEK0 | nan
TPdef | PLNONE | CF2000-0500 | SONONE | QU3 | MA0.8 | WEEK1 | 0.027232735186234813
TPdef | PLNONE | CF2000-0500 | SONONE | QU3 | MA0.8 | WEEK2 | 0.04511057109428568
TPdef | PLNONE | CF2000-0500 | SONONE | QU3 | MA0.8 | WEEK3 | 0.0448360048956562
TPdef | PLNONE | CF2000-0500 | SONONE | QU3 | MA0.8 | WEEK4 | 0.047159316165374915
TPdef | PLNONE | CF2000-0500 | SONONE | QU3 | MA0.8 | WEEK5 | 0.04738973408928901
TPdef | PLNONE | CF2000-0500 | SONONE | QU3 | MA0.8 | WEEK6 | 0.04706892976991947
TPdef | PLNONE | CF2000-0500 | SONONE | QU3 | MA0.8 | WEEK7 | 0.047317602660774255
TPdef | PLNONE | CF2000-0500 | SONONE | QU3 | MA0.8 | WEEK8 | 0.04699659540083845
TPdef | PLNONE | CF2000-0500 | SO12 | QU0 | MA1.0 | WEEK0 | nan
TPdef | PLNONE | CF2000-0500 | SO12 | QU0 | MA1.0 | WEEK1 | 0.00035367324309043546
TPdef | PLNONE | CF2000-0500 | SO12 | QU0 | MA1.0 | WEEK2 | 0.017804026659087258
TPdef | PLNONE | CF2000-0500 | SO12 | QU0 | MA1.0 | WEEK3 | 0.016128212166389544
TPdef | PLNONE | CF2000-0500 | SO12 | QU0 | MA1.0 | WEEK4 | 0.021621446665626265
TPdef | PLNONE | CF2000-0500 | SO12 | QU0 | MA1.0 | WEEK5 | 0.019660214540264592
TPdef | PLNONE | CF2000-0500 | SO12 | QU0 | MA1.0 | WEEK6 | 0.018959447349271463
TPdef | PLNONE | CF2000-0500 | SO12 | QU0 | MA1.0 | WEEK7 | 0.018045515210579455
TPdef | PLNONE | CF2000-0500 | SO12 | QU0 | MA1.0 | WEEK8 | 0.017869299484277956
TPdef | PLNONE | CF2000-0500 | SO12 | QU0 | MA0.8 | WEEK0 | nan
TPdef | PLNONE | CF2000-0500 | SO12 | QU0 | MA0.8 | WEEK1 | 0.020508094631583096
TPdef | PLNONE | CF2000-0500 | SO12 | QU0 | MA0.8 | WEEK2 | 0.036586591009467734
TPdef | PLNONE | CF2000-0500 | SO12 | QU0 | MA0.8 | WEEK3 | 0.03524437777767195
TPdef | PLNONE | CF2000-0500 | SO12 | QU0 | MA0.8 | WEEK4 | 0.03894721625652864
TPdef | PLNONE | CF2000-0500 | SO12 | QU0 | MA0.8 | WEEK5 | 0.03726632963119872
TPdef | PLNONE | CF2000-0500 | SO12 | QU0 | MA0.8 | WEEK6 | 0.03841628904076652
TPdef | PLNONE | CF2000-0500 | SO12 | QU0 | MA0.8 | WEEK7 | 0.03722199911758911
TPdef | PLNONE | CF2000-0500 | SO12 | QU0 | MA0.8 | WEEK8 | 0.03615740146826321
TPdef | PLNONE | CF2000-0500 | SO12 | QU2 | MA1.0 | WEEK0 | nan
TPdef | PLNONE | CF2000-0500 | SO12 | QU2 | MA1.0 | WEEK1 | 0.012850866298693336
TPdef | PLNONE | CF2000-0500 | SO12 | QU2 | MA1.0 | WEEK2 | 0.028603984046528946
TPdef | PLNONE | CF2000-0500 | SO12 | QU2 | MA1.0 | WEEK3 | 0.030895079257789726
TPdef | PLNONE | CF2000-0500 | SO12 | QU2 | MA1.0 | WEEK4 | 0.03288922701780628
TPdef | PLNONE | CF2000-0500 | SO12 | QU2 | MA1.0 | WEEK5 | 0.03463900682926779
TPdef | PLNONE | CF2000-0500 | SO12 | QU2 | MA1.0 | WEEK6 | 0.03447054479125408
TPdef | PLNONE | CF2000-0500 | SO12 | QU2 | MA1.0 | WEEK7 | 0.03392094204936813
TPdef | PLNONE | CF2000-0500 | SO12 | QU2 | MA1.0 | WEEK8 | 0.03309692581537729
TPdef | PLNONE | CF2000-0500 | SO12 | QU2 | MA0.8 | WEEK0 | nan
TPdef | PLNONE | CF2000-0500 | SO12 | QU2 | MA0.8 | WEEK1 | 0.03396322349403433
TPdef | PLNONE | CF2000-0500 | SO12 | QU2 | MA0.8 | WEEK2 | 0.049000423077639965
TPdef | PLNONE | CF2000-0500 | SO12 | QU2 | MA0.8 | WEEK3 | 0.04825758528905566
TPdef | PLNONE | CF2000-0500 | SO12 | QU2 | MA0.8 | WEEK4 | 0.050448580856401554
TPdef | PLNONE | CF2000-0500 | SO12 | QU2 | MA0.8 | WEEK5 | 0.049949498208195914
TPdef | PLNONE | CF2000-0500 | SO12 | QU2 | MA0.8 | WEEK6 | 0.048195966030103315
TPdef | PLNONE | CF2000-0500 | SO12 | QU2 | MA0.8 | WEEK7 | 0.0484283227188641
TPdef | PLNONE | CF2000-0500 | SO12 | QU2 | MA0.8 | WEEK8 | 0.04703348696563342
TPdef | PLNONE | CF2000-0500 | SO12 | QU3 | MA1.0 | WEEK0 | nan
TPdef | PLNONE | CF2000-0500 | SO12 | QU3 | MA1.0 | WEEK1 | 0.020790779837234097
TPdef | PLNONE | CF2000-0500 | SO12 | QU3 | MA1.0 | WEEK2 | 0.029734422122874193
TPdef | PLNONE | CF2000-0500 | SO12 | QU3 | MA1.0 | WEEK3 | 0.0348007225480822
TPdef | PLNONE | CF2000-0500 | SO12 | QU3 | MA1.0 | WEEK4 | 0.034273908501712164
TPdef | PLNONE | CF2000-0500 | SO12 | QU3 | MA1.0 | WEEK5 | 0.035906060865366546
TPdef | PLNONE | CF2000-0500 | SO12 | QU3 | MA1.0 | WEEK6 | 0.03679679351140222
TPdef | PLNONE | CF2000-0500 | SO12 | QU3 | MA1.0 | WEEK7 | 0.036202314850939415
TPdef | PLNONE | CF2000-0500 | SO12 | QU3 | MA1.0 | WEEK8 | 0.037132374832719944
TPdef | PLNONE | CF2000-0500 | SO12 | QU3 | MA0.8 | WEEK0 | nan
TPdef | PLNONE | CF2000-0500 | SO12 | QU3 | MA0.8 | WEEK1 | 0.0290660682862027
TPdef | PLNONE | CF2000-0500 | SO12 | QU3 | MA0.8 | WEEK2 | 0.050006295801407696
TPdef | PLNONE | CF2000-0500 | SO12 | QU3 | MA0.8 | WEEK3 | 0.05324263350129391
TPdef | PLNONE | CF2000-0500 | SO12 | QU3 | MA0.8 | WEEK4 | 0.050593960151478184
TPdef | PLNONE | CF2000-0500 | SO12 | QU3 | MA0.8 | WEEK5 | 0.052017498784020455
TPdef | PLNONE | CF2000-0500 | SO12 | QU3 | MA0.8 | WEEK6 | 0.05100769359348256
TPdef | PLNONE | CF2000-0500 | SO12 | QU3 | MA0.8 | WEEK7 | 0.05082810460858883
